,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mahon,39.8885,4.2658,72.16,100,0,8.05,ES,1666474053
1,Longyearbyen,78.2186,15.6401,21.04,58,20,4.61,SJ,1666473481
2,Thompson,55.7435,-97.8558,41.16,56,75,4.61,CA,1666473477
3,Saint George,37.1041,-113.5841,79.79,17,0,33.38,US,1666473474
4,Butaritari,3.0707,172.7902,81.14,67,100,10.13,KI,1666473470
5,Cape Town,-33.9258,18.4232,67.91,73,0,14.0,ZA,1666474026
6,Ortona,42.3496,14.4039,70.38,66,100,1.81,IT,1666474054
7,Lebu,-37.6167,-73.65,54.28,70,100,9.86,CL,1666474054
8,San Cristobal,7.7669,-72.225,77.18,72,97,1.5,VE,1666474055
9,Ushuaia,-54.8,-68.3,46.06,76,75,5.75,AR,1666473845
10,Atuona,-9.8,-139.0333,76.8,65,47,17.09,PF,1666474055
11,Yichun,47.7,128.9,25.43,78,15,2.33,CN,1666474055
12,Nemuro,43.3236,145.575,52.79,76,0,16.82,JP,1666474056
13,Plouzané,48.3833,-4.6167,62.92,85,0,11.5,FR,1666474056
14,Saint Paul Harbor,57.79,-152.4072,44.11,70,100,6.91,US,1666473493
15,Grand Gaube,-20.0064,57.6608,72.37,72,25,1.99,MU,1666473506
16,Bluff,-46.6,168.3333,56.8,69,26,10.47,NZ,1666473473
17,Kupang,-10.1667,123.5833,79.93,80,42,2.95,ID,1666474057
18,Busselton,-33.65,115.3333,54.23,85,36,5.14,AU,1666474057
19,Rikitea,-23.1203,-134.9692,71.42,82,88,22.08,PF,1666474058
20,Lerwick,60.1545,-1.1494,51.8,93,87,16.58,GB,1666474058
21,Bernal,-5.45,-80.75,77.18,50,76,13.27,PE,1666474059
22,Diffa,13.3154,12.6113,85.98,18,100,8.34,NE,1666474059
23,Lohr a. Main,49.9936,9.5783,55.22,90,68,2.84,DE,1666474060
24,Aykhal,66.0,111.5,15.46,99,100,11.21,RU,1666473595
25,La Paz,-16.5,-68.15,62.58,33,75,12.66,BO,1666474060
26,Jamestown,42.097,-79.2353,71.19,32,0,9.22,US,1666473461
27,Tiarei,-17.5333,-149.3333,77.5,79,29,12.8,PF,1666474061
28,Dera Ghazi Khan,30.0561,70.6348,72.9,33,0,4.09,PK,1666474061
29,Torbay,47.6666,-52.7314,54.75,81,0,3.0,CA,1666473322
30,Vaini,-21.2,-175.2,71.76,88,75,14.97,TO,1666474061
31,Winslow,35.0242,-110.6974,75.38,25,0,28.77,US,1666474062
32,Salalah,17.0151,54.0924,78.89,69,0,3.44,OM,1666473536
33,Barrow,71.2906,-156.7887,26.62,86,100,20.71,US,1666473467
34,Zilair,52.2332,57.4392,25.25,81,5,7.14,RU,1666474062
35,Pangnirtung,66.1451,-65.7125,30.69,93,100,9.37,CA,1666473573
36,Punta Arenas,-53.15,-70.9167,46.51,81,100,6.91,CL,1666473309
37,Vuktyl,63.8567,57.3094,28.65,85,64,8.03,RU,1666474063
38,Price,39.5994,-110.8107,56.46,38,100,12.66,US,1666474063
39,Avarua,-21.2078,-159.775,80.65,83,40,6.91,CK,1666474064
40,Bermejillo,25.8833,-103.6167,86.04,21,37,6.29,MX,1666474064
41,Blythe,33.6103,-114.5964,88.25,23,0,17.27,US,1666474065
42,Hilo,19.7297,-155.09,83.28,72,20,10.36,US,1666473324
43,Tuktoyaktuk,69.4541,-133.0374,17.6,93,20,9.22,CA,1666474065
44,Chokurdakh,70.6333,147.9167,13.68,95,100,11.01,RU,1666473534
45,Khatanga,71.9667,102.5,26.29,83,100,17.09,RU,1666473486
46,Diplo,24.4667,69.584,80.01,36,0,5.77,PK,1666474065
47,Kosovo Polje,42.6394,21.0961,58.21,79,0,2.3,XK,1666474066
48,Tommot,58.9564,126.2925,21.52,97,100,2.53,RU,1666473634
49,Geraldton,-28.7667,114.6,60.85,85,0,3.96,AU,1666474066
50,Kailua,21.4022,-157.7394,85.98,73,70,5.01,US,1666474067
51,Chapais,49.7834,-74.8492,55.18,67,87,7.49,CA,1666474067
52,Port Alfred,-33.5906,26.891,64.18,81,24,5.99,ZA,1666474067
53,Poum,-20.2333,164.0167,76.12,83,100,29.77,NC,1666474068
54,Udachny,66.4167,112.4,11.93,98,99,7.96,RU,1666474068
55,Ribeira Grande,38.5167,-28.7,64.78,68,91,1.99,PT,1666473476
56,Hobart,-42.8794,147.3294,52.27,82,75,12.66,AU,1666474068
57,Catuday,16.2923,119.8062,79.21,82,100,4.45,PH,1666474069
58,Pevek,69.7008,170.3133,19.47,96,100,7.78,RU,1666474069
59,Montevideo,-34.8335,-56.1674,54.52,90,100,24.0,UY,1666474069
60,Meulaboh,4.1363,96.1285,75.15,86,99,5.64,ID,1666473572
61,Albany,42.6001,-73.9662,66.85,40,0,5.01,US,1666473472
62,Aachen,50.7766,6.0834,58.42,90,100,1.01,DE,1666474070
63,New Norfolk,-42.7826,147.0587,51.93,82,100,1.99,AU,1666473516
64,Norman Wells,65.282,-126.8329,24.84,80,75,0.0,CA,1666473487
65,Mar del Plata,-38.0023,-57.5575,51.94,61,40,10.36,AR,1666473484
66,Dāmghān,36.1683,54.348,60.42,66,3,3.31,IR,1666474070
67,Cap Malheureux,-19.9842,57.6142,72.46,72,27,1.99,MU,1666473477
68,Mataura,-46.1927,168.8643,56.48,46,37,5.32,NZ,1666474071
69,Kärdla,58.9978,22.7492,45.41,82,100,5.3,EE,1666474071
70,Zyryanka,65.75,150.85,-5.01,96,69,6.17,RU,1666474071
71,Emba,48.8264,58.1442,32.81,59,0,7.76,KZ,1666474072
72,Adrar,20.5022,-10.0711,85.41,12,2,6.31,MR,1666473651
73,Harbin,45.75,126.65,37.35,58,100,4.56,CN,1666473844
74,Vung Tau,10.346,107.0843,79.66,77,100,6.13,VN,1666474072
75,Severo-Kuril'sk,50.6789,156.125,39.06,75,90,3.69,RU,1666473505
76,Yellowknife,62.456,-114.3525,28.92,59,75,11.5,CA,1666474027
77,Deputatsky,69.3,139.9,-1.82,95,98,5.46,RU,1666474073
78,Hermanus,-34.4187,19.2345,65.8,89,4,12.84,ZA,1666474073
79,Hithadhoo,-0.6,73.0833,81.59,73,61,8.43,MV,1666474074
80,Airai,-8.9266,125.4092,61.41,81,68,1.43,TL,1666474074
81,Lüderitz,-26.6481,15.1594,60.55,77,1,17.49,NA,1666473539
82,Gold Coast,-28.0,153.4333,68.07,97,100,17.27,AU,1666474074
83,Dikson,73.5069,80.5464,25.66,91,100,15.99,RU,1666473494
84,Carnarvon,-24.8667,113.6333,66.74,82,0,10.33,AU,1666474075
85,Kiryat Gat,31.61,34.7642,70.48,100,0,4.92,IL,1666474075
86,Kaeo,-35.1,173.7833,62.33,70,2,8.59,NZ,1666473634
87,Kapaa,22.0752,-159.319,85.98,76,100,16.11,US,1666474076
88,Capoterra,39.1763,8.9718,71.01,82,0,8.05,IT,1666474076
89,Wattegama,6.7989,81.4808,74.1,92,100,0.63,LK,1666474077
90,Solnechnyy,50.7214,136.6319,29.55,57,100,2.86,RU,1666474077
91,Ketchikan,55.3422,-131.6461,46.87,76,40,5.75,US,1666473638
92,Qaanaaq,77.484,-69.3632,20.14,79,100,5.88,GL,1666474078
93,Puerto Ayora,-0.7393,-90.3518,76.96,93,68,8.01,EC,1666473484
94,East London,-33.0153,27.9116,65.61,78,93,13.78,ZA,1666473480
95,Abalak,58.1286,68.5944,28.31,86,89,8.37,RU,1666474078
96,Bethel,41.3712,-73.414,66.29,50,0,6.91,US,1666473249
97,Provideniya,64.3833,-173.3,32.02,98,100,5.46,RU,1666473479
98,Mendi,-6.1761,143.6513,53.53,95,98,2.66,PG,1666474079
99,Narsaq,60.9167,-46.05,37.62,95,100,5.55,GL,1666473619
100,Kumul,42.8,93.45,51.73,32,0,2.48,CN,1666473515
101,Westport,41.1415,-73.3579,65.89,63,0,4.61,US,1666473577
102,Kaitangata,-46.2817,169.8464,55.62,58,20,5.01,NZ,1666473552
103,Buloh Kasap,2.5536,102.764,74.25,96,100,2.86,MY,1666474080
104,Tombouctou,20.0,-3.0,83.44,14,86,9.31,ML,1666473483
105,Malaya Vishera,58.8454,32.2222,41.23,77,86,5.73,RU,1666474080
106,Cidreira,-30.1811,-50.2056,65.57,78,29,7.45,BR,1666473562
107,Kuril'sk,45.2333,147.8833,51.26,87,42,14.7,RU,1666474081
108,Provincia di Campobasso,41.6333,14.5833,66.94,91,100,7.34,IT,1666474082
109,Ambilobe,-13.2,49.05,70.05,85,4,2.89,MG,1666474082
110,Mackay,-21.15,149.2,77.68,82,15,4.29,AU,1666473998
111,Igrim,63.1906,64.4162,31.53,67,85,10.56,RU,1666474082
112,Marsh Harbour,26.5412,-77.0636,78.35,70,5,16.08,BS,1666473620
113,Kavaratti,10.5669,72.642,81.27,78,15,5.17,IN,1666473559
114,Clyde River,70.4692,-68.5914,23.23,93,100,6.91,CA,1666473491
115,Chui,-33.6971,-53.4616,59.68,93,90,6.67,UY,1666474084
116,Tilichiki,60.4667,166.1,10.54,92,72,6.89,RU,1666473655
117,Gurupá,-1.405,-51.64,87.69,55,97,5.75,BR,1666474084
118,Mahibadhoo,3.7833,72.9667,79.48,85,100,17.56,MV,1666474085
119,Viedma,-40.8135,-62.9967,67.6,22,0,15.48,AR,1666474085
120,Cochabamba,-17.3895,-66.1568,71.35,33,75,13.8,BO,1666474086
121,Dingle,10.9995,122.6711,75.25,93,100,5.86,PH,1666474086
122,Pitimbu,-7.4706,-34.8086,78.62,76,46,16.82,BR,1666474086
123,Omboué,-1.5746,9.2618,77.04,90,85,6.29,GA,1666474087
124,Mabaruma,8.2,-59.7833,75.2,94,75,0.0,GY,1666474087
125,Calama,-22.4667,-68.9333,72.09,6,0,24.16,CL,1666474088
126,Baykit,61.67,96.37,41.34,98,100,7.56,RU,1666474088
127,Okhotsk,59.3833,143.3,20.21,60,100,12.77,RU,1666474089
128,Saskylakh,71.9167,114.0833,8.29,97,46,7.74,RU,1666474089
129,Saint-Philippe,-21.3585,55.7679,69.39,84,100,10.69,RE,1666474090
130,Enid,36.3956,-97.8784,91.56,18,0,19.57,US,1666474090
131,Kavieng,-2.5744,150.7967,82.31,65,54,4.27,PG,1666473531
132,Luanda,-8.8368,13.2343,77.0,83,75,11.5,AO,1666474091
133,Tasiilaq,65.6145,-37.6368,32.16,97,100,13.22,GL,1666474091
134,Gibsons,49.3997,-123.5027,57.52,74,71,1.99,CA,1666474092
135,Dunedin,-45.8742,170.5036,59.81,67,6,1.01,NZ,1666473586
136,Hong Kong,22.2855,114.1577,79.32,82,68,3.0,HK,1666473925
137,Alugan,12.2188,125.4808,81.28,83,100,8.79,PH,1666474093
138,Fare,-16.7,-151.0167,78.98,75,8,16.04,PF,1666473541
139,Raja,8.4596,25.678,70.99,91,100,1.03,SS,1666473535
140,Bahía Solano,6.2262,-77.4044,78.01,87,100,6.13,CO,1666474094
141,Oddur,4.1213,43.8894,73.98,74,23,11.7,SO,1666474094
142,Sitka,57.0531,-135.33,48.09,76,0,0.0,US,1666473570
143,Acapulco de Juárez,16.8634,-99.8901,85.82,62,20,6.91,MX,1666474095
144,Hasaki,35.7333,140.8333,55.8,69,28,7.18,JP,1666473589
145,Manokwari,-0.8667,134.0833,78.69,79,70,3.36,ID,1666474095
146,Kiunga,-6.1219,141.2906,72.14,100,100,1.88,PG,1666474096
147,Tual,-5.6667,132.75,82.98,77,100,7.61,ID,1666473514
148,Sittwe,20.15,92.9,79.92,83,100,6.6,MM,1666473659
149,Odesskoye,54.2111,72.9651,31.57,96,100,30.4,RU,1666474097
150,Kulhudhuffushi,6.6221,73.07,80.65,83,100,12.68,MV,1666474098
151,Upernavik,72.7868,-56.1549,34.52,97,100,28.03,GL,1666473490
152,Sobolevo,54.4299,31.8996,42.13,84,100,9.37,RU,1666473615
153,Itoman,26.1247,127.6694,78.82,89,75,14.97,JP,1666473519
154,Almaznyy,48.0448,40.045,41.23,77,100,6.35,RU,1666474098
155,Bonthe,7.5264,-12.505,78.15,85,65,4.68,SL,1666474099
156,Bredasdorp,-34.5322,20.0403,61.38,93,13,11.41,ZA,1666474099
157,Moose Factory,51.2585,-80.6094,51.8,71,100,9.22,CA,1666474100
158,Shenavan,40.0549,43.9288,49.51,81,75,5.75,AM,1666474100
159,Codrington,-38.2667,141.9667,54.93,91,100,17.25,AU,1666473611
160,Upata,8.0086,-62.3989,85.19,88,99,4.12,VE,1666474101
161,Abatskiy,56.2875,70.4555,31.37,71,100,12.44,RU,1666474101
162,Sioux Lookout,50.1001,-91.917,48.27,87,100,3.44,CA,1666473629
163,Buala,-8.145,159.5921,81.23,79,100,5.57,SB,1666473552
164,Port Hardy,50.6996,-127.4199,50.18,71,40,14.97,CA,1666474102
165,Piaçabuçu,-10.4056,-36.4344,77.41,80,97,12.8,BR,1666473547
166,Beringovskiy,63.05,179.3167,28.18,85,100,9.22,RU,1666473563
167,Oodweyne,9.4092,45.064,73.56,67,39,5.88,SO,1666474102
168,Grindavik,63.8424,-22.4338,39.67,93,100,6.91,IS,1666473571
169,Ust-Nera,64.5667,143.2,-3.87,99,100,3.69,RU,1666474103
170,Bambous Virieux,-20.3428,57.7575,71.85,83,20,8.05,MU,1666474103
171,Bengkulu,-3.8004,102.2655,76.37,82,100,3.42,ID,1666473644
172,Lavrentiya,65.5833,-171.0,32.77,91,50,2.91,RU,1666473551
173,Maningrida,-12.0667,134.2667,80.98,80,25,5.06,AU,1666474104
174,Saint Anthony,45.0205,-93.218,78.69,34,0,16.11,US,1666473333
175,Flinders,-34.5833,150.8552,67.17,93,100,5.01,AU,1666473530
176,Okato,-39.2,173.8833,55.69,54,0,2.59,NZ,1666474105
177,Shizunai-furukawachō,42.3339,142.3669,52.7,70,76,10.16,JP,1666474105
178,São Filipe,14.8961,-24.4956,79.93,72,4,7.45,CV,1666474106
179,Kieta,-6.2167,155.6333,80.73,80,62,4.0,PG,1666474106
180,Athabasca,54.7169,-113.2854,41.41,89,100,3.98,CA,1666474106
181,Ous,60.9058,61.5186,29.93,74,9,10.76,RU,1666474107
182,Missoula,47.0166,-113.8009,34.2,89,97,5.46,US,1666474107
183,Ponta do Sol,32.6667,-17.1,70.43,83,100,8.63,PT,1666474107
184,Aswān,24.0934,32.907,74.5,40,0,4.61,EG,1666474108
185,Daru,-9.0763,143.2092,78.17,86,15,2.28,PG,1666474108
186,Celestún,20.8667,-90.4,80.08,54,0,12.8,MX,1666474109
187,Pisco,-13.7,-76.2167,66.25,68,0,17.27,PE,1666473827
188,Gusev,54.5922,22.1997,48.87,96,100,4.94,RU,1666474109
189,Iqaluit,63.7506,-68.5145,31.73,100,100,10.0,CA,1666474109
190,Tiksi,71.6872,128.8694,15.85,94,100,5.97,RU,1666473520
191,Rāvar,31.2656,56.8055,69.37,18,0,3.31,IR,1666474110
192,Provincia di Lecce,40.2167,18.1667,72.86,94,0,4.61,IT,1666474110
193,Altamira,-3.2033,-52.2064,89.29,45,100,0.92,BR,1666474111
194,San Policarpo,12.1791,125.5072,81.82,82,99,9.4,PH,1666474111
195,Boyolangu,-8.1181,111.8935,76.41,90,59,0.36,ID,1666474111
196,Hirson,49.9226,4.0826,60.46,87,100,7.36,FR,1666474112
197,Kaputa,-8.4689,29.6619,76.1,51,95,5.48,ZM,1666474112
198,Vostok,46.4856,135.8833,23.95,90,80,2.91,RU,1666473623
199,Mitsamiouli,-11.3847,43.2844,75.96,80,12,8.01,KM,1666474113
200,Salinas,36.6777,-121.6555,73.29,60,0,21.85,US,1666474026
201,George Town,5.4112,100.3354,80.53,85,20,4.61,MY,1666474113
202,Cartagena,10.3997,-75.5144,83.82,79,75,6.91,CO,1666474114
203,Vyartsilya,62.1764,30.693,39.47,91,98,10.47,RU,1666474114
204,La Libertad,-2.2333,-80.9,71.26,78,100,11.5,EC,1666474028
205,Kattivākkam,13.2167,80.3167,82.49,76,100,11.99,IN,1666474115
206,Poya,-21.35,165.15,75.54,73,100,9.1,NC,1666473609
207,Barra de Tecoanapa,16.5167,-98.75,84.15,69,80,8.59,MX,1666474115
208,Fortuna,40.5982,-124.1573,61.36,65,40,16.11,US,1666474116
209,Ordzhonīkīdze,52.4411,61.7408,26.01,82,9,12.46,KZ,1666474116
210,Bowmore,34.9421,-79.3031,76.51,46,0,8.05,US,1666474117
211,Prainha,-1.8,-53.48,86.97,50,100,2.06,BR,1666474117
212,Tateyama,34.9833,139.8667,71.26,74,8,16.67,JP,1666474117
213,Port-Gentil,-0.7193,8.7815,79.16,84,100,9.55,GA,1666474118
214,Pottsville,40.6857,-76.1955,66.58,52,0,1.01,US,1666474118
215,Sorong,-0.8833,131.25,78.42,88,100,8.61,ID,1666474119
216,Jinchang,38.4953,102.1739,48.13,38,69,3.98,CN,1666474119
217,Itarema,-2.9248,-39.9167,79.34,80,73,15.3,BR,1666473583
218,Ploemeur,47.7333,-3.4333,64.81,79,0,13.8,FR,1666474120
219,Les Cayes,18.2,-73.75,83.97,67,46,7.34,HT,1666474120
220,Bagotville,-28.9833,153.4167,66.09,99,100,12.39,AU,1666474121
221,Colares,38.7992,-9.4469,65.75,92,100,21.0,PT,1666474121
222,Brae,60.3964,-1.353,51.4,93,58,13.33,GB,1666474121
223,Fairbanks,64.8378,-147.7164,33.76,95,100,5.75,US,1666473900
224,Eyl,7.9803,49.8164,77.99,84,46,5.82,SO,1666474122
225,Port Elizabeth,-33.918,25.5701,66.09,91,40,11.5,ZA,1666474122
226,Namatanai,-3.6667,152.4333,81.05,73,100,3.69,PG,1666474122
227,Pryazha,61.6926,33.6216,40.24,89,100,11.77,RU,1666474123
228,Lamar,33.6668,-95.5836,85.98,47,0,21.85,US,1666474123
229,Stara Vyzhivka,51.4376,24.44,51.15,94,100,9.89,UA,1666474123
230,Volgorechensk,57.4393,41.1555,36.59,91,97,6.53,RU,1666474124
231,Dianalund,55.5313,11.4925,54.99,97,72,8.61,DK,1666474124
232,Ahipara,-35.1667,173.1667,60.4,55,0,6.64,NZ,1666473657
233,Vila Velha,-20.3297,-40.2925,76.95,84,88,10.0,BR,1666474124
234,Dzaoudzi,-12.7887,45.2699,76.89,83,0,5.75,YT,1666474125
235,Te Anau,-45.4167,167.7167,51.66,80,33,7.65,NZ,1666474125
236,Vila Franca do Campo,37.7167,-25.4333,64.81,76,78,16.87,PT,1666473654
237,Manta,-0.95,-80.7333,78.58,69,40,13.8,EC,1666473927
238,Whitehorse,60.7161,-135.0538,36.37,85,75,0.0,CA,1666474126
239,Dalian,38.9122,121.6022,42.73,75,0,2.24,CN,1666474126
240,North Bend,43.4065,-124.2243,57.24,87,75,11.5,US,1666473952
241,San Ciro de Acosta,21.6333,-99.8167,84.85,38,88,8.12,MX,1666474127
242,Rouvroy,50.3925,2.904,60.15,89,100,6.91,FR,1666474127
243,Kemecse,48.0753,21.8063,51.53,82,100,4.83,HU,1666474127
244,Baião,-2.7906,-49.6717,86.0,60,51,4.32,BR,1666474128
245,Saint-Leu,-21.15,55.2833,70.63,80,94,4.16,RE,1666474128
246,Henties Bay,-22.116,14.2845,58.51,91,49,5.55,NA,1666474128
247,Kenai,60.5544,-151.2583,36.14,96,75,14.97,US,1666474129
248,Al Bardīyah,31.7561,25.0865,68.23,59,0,8.05,LY,1666474129
249,Castro,-24.7911,-50.0119,66.88,73,3,3.22,BR,1666474129
250,Dahra,36.2546,0.8519,78.94,25,12,7.9,DZ,1666474130
251,Tsimlyansk,47.6461,42.1019,42.48,63,100,6.46,RU,1666474130
252,Esenyurt,41.0333,28.6753,56.32,72,0,4.61,TR,1666474130
253,Necochea,-38.5473,-58.7368,49.71,51,0,9.31,AR,1666473537
254,Nikolskoye,59.7035,30.7861,42.69,89,27,6.24,RU,1666474131
255,Alexandria,31.2156,29.9553,71.62,68,0,4.72,EG,1666473656
256,Pacific Grove,36.6177,-121.9166,71.87,71,0,14.0,US,1666474131
257,Hong Gai,20.956,107.0946,73.31,80,3,3.65,VN,1666474131
258,Mount Isa,-20.7333,139.5,78.35,23,0,8.41,AU,1666473633
259,Turukhansk,65.8167,87.9833,25.07,94,100,11.23,RU,1666474132
260,Ixtapa,20.7,-105.2,82.22,89,100,3.44,MX,1666474132
261,Atlantis,-33.5667,18.4834,65.98,80,2,10.07,ZA,1666474133
262,Malakal,9.5334,31.6605,71.82,95,48,3.98,SS,1666473588
263,Dawlatabad,36.4141,64.9053,60.76,62,4,4.68,AF,1666474133
264,Morón,-34.6534,-58.6198,58.96,69,99,8.5,AR,1666473939
265,Puerto Ayacucho,5.6639,-67.6236,84.43,75,96,2.68,VE,1666474133
266,Mut,36.6439,33.4389,55.94,38,0,5.55,TR,1666474134
267,Shingū,33.7333,135.9833,63.05,85,5,6.13,JP,1666474134
268,Rapid Valley,44.0625,-103.1463,64.6,41,0,12.66,US,1666474134
269,Prokop'yevsk,53.9059,86.719,48.25,72,100,8.12,RU,1666474134
270,Lakota,5.8528,-5.6883,72.23,99,96,3.6,CI,1666474135
271,Guiyang,26.5833,106.7167,64.89,72,100,8.95,CN,1666473891
272,Hualmay,-11.0964,-77.6139,65.95,72,66,9.86,PE,1666474135
273,Vyyezdnoye,55.3815,43.7864,38.05,76,98,3.0,RU,1666474135
274,Makakilo City,21.3469,-158.0858,84.52,67,75,10.36,US,1666473391
